1.000000,1499967586437.000000,1.000000
2.000000,1499967586439.000000,1.000000
3.000000,1499967586443.000000,0.000000
4.000000,1499967586454.000000,1.000000
5.000000,1499967586471.000000,0.000000
6.000000,1499967589462.000000,0.000000
7.000000,1499967589471.000000,0.000000
8.000000,1499967589479.000000,1.000000
9.000000,1499967589489.000000,0.000000
10.000000,1499967589504.000000,1.000000
11.000000,1499967592498.000000,1.000000
12.000000,1499967592507.000000,1.000000
13.000000,1499967592514.000000,0.000000
14.000000,1499967592524.000000,0.000000
15.000000,1499967592540.000000,1.000000
16.000000,1499967595589.000000,1.000000
17.000000,1499967595598.000000,0.000000
18.000000,1499967595605.000000,0.000000
19.000000,1499967595615.000000,1.000000
20.000000,1499967595631.000000,0.000000
21.000000,1499967598624.000000,2.000000
22.000000,1499967598636.000000,0.000000
23.000000,1499967598641.000000,1.000000
24.000000,1499967598651.000000,1.000000
25.000000,1499967598671.000000,0.000000
