1.000000,1500319575319.000000,31.000000
2.000000,1500319575321.000000,85.000000
3.000000,1500319575321.000000,138.000000
4.000000,1500319575322.000000,174.000000
5.000000,1500319795042.000000,34.000000
6.000000,1500319795050.000000,90.000000
7.000000,1500319795059.000000,152.000000
8.000000,1500319795068.000000,160.000000
9.000000,1500319795083.000000,173.000000
10.000000,1500320082875.000000,35.000000
11.000000,1500320082884.000000,95.000000
12.000000,1500320082896.000000,150.000000
13.000000,1500320082900.000000,162.000000
14.000000,1500320082916.000000,165.000000
15.000000,1500320360032.000000,36.000000
16.000000,1500320360041.000000,99.000000
17.000000,1500320360049.000000,156.000000
18.000000,1500320360057.000000,155.000000
19.000000,1500320360073.000000,150.000000
20.000000,1500320619089.000000,40.000000
21.000000,1500320619098.000000,110.000000
22.000000,1500320619105.000000,151.000000
23.000000,1500320619115.000000,151.000000
24.000000,1500320619131.000000,155.000000
25.000000,1500320856211.000000,44.000000
26.000000,1500320856219.000000,118.000000
27.000000,1500320856226.000000,150.000000
28.000000,1500320856236.000000,151.000000
29.000000,1500320856253.000000,151.000000
30.000000,1500321290827.000000,622.000000
31.000000,1500321290838.000000,620.000000
32.000000,1500321290843.000000,616.000000
33.000000,1500321290854.000000,603.000000
34.000000,1500321290869.000000,607.000000
35.000000,1500321291752.000000,598.000000
36.000000,1500321291761.000000,616.000000
37.000000,1500321291768.000000,600.000000
38.000000,1500321291778.000000,624.000000
39.000000,1500321291794.000000,621.000000
40.000000,1500321292668.000000,602.000000
41.000000,1500321292677.000000,592.000000
42.000000,1500321292686.000000,600.000000
43.000000,1500321292693.000000,607.000000
44.000000,1500321292709.000000,600.000000
45.000000,1500321293584.000000,585.000000
46.000000,1500321293592.000000,585.000000
47.000000,1500321293600.000000,584.000000
48.000000,1500321293610.000000,564.000000
49.000000,1500321293625.000000,584.000000
50.000000,1500321294499.000000,582.000000
51.000000,1500321294508.000000,558.000000
52.000000,1500321294515.000000,578.000000
53.000000,1500321294525.000000,558.000000
54.000000,1500321294541.000000,577.000000
55.000000,1500321295473.000000,576.000000
56.000000,1500321295480.000000,584.000000
57.000000,1500321295487.000000,572.000000
58.000000,1500321295497.000000,558.000000
59.000000,1500321295513.000000,557.000000
60.000000,1500321296444.000000,564.000000
61.000000,1500321296452.000000,575.000000
62.000000,1500321296460.000000,543.000000
63.000000,1500321296469.000000,565.000000
64.000000,1500321296486.000000,543.000000
65.000000,1500321297474.000000,537.000000
66.000000,1500321297483.000000,543.000000
67.000000,1500321297490.000000,540.000000
68.000000,1500321297500.000000,542.000000
69.000000,1500321297516.000000,549.000000
70.000000,1500321298505.000000,548.000000
71.000000,1500321298513.000000,524.000000
72.000000,1500321298520.000000,547.000000
73.000000,1500321298530.000000,532.000000
74.000000,1500321298546.000000,524.000000
75.000000,1500321299533.000000,514.000000
76.000000,1500321299542.000000,529.000000
77.000000,1500321299550.000000,514.000000
78.000000,1500321299559.000000,528.000000
79.000000,1500321299576.000000,541.000000
80.000000,1500321300621.000000,514.000000
81.000000,1500321300629.000000,512.000000
82.000000,1500321300637.000000,529.000000
83.000000,1500321300647.000000,510.000000
84.000000,1500321300662.000000,507.000000
85.000000,1500321301709.000000,512.000000
86.000000,1500321301717.000000,514.000000
87.000000,1500321301723.000000,486.000000
88.000000,1500321301733.000000,499.000000
89.000000,1500321301749.000000,508.000000
90.000000,1500321302851.000000,484.000000
91.000000,1500321302860.000000,466.000000
92.000000,1500321302868.000000,512.000000
93.000000,1500321302878.000000,495.000000
94.000000,1500321302894.000000,482.000000
95.000000,1500321303996.000000,497.000000
96.000000,1500321304005.000000,499.000000
97.000000,1500321304012.000000,490.000000
98.000000,1500321304022.000000,490.000000
99.000000,1500321304038.000000,509.000000
100.000000,1500321305198.000000,507.000000
101.000000,1500321305207.000000,492.000000
102.000000,1500321305215.000000,496.000000
103.000000,1500321305225.000000,507.000000
104.000000,1500321305240.000000,495.000000
105.000000,1500321306399.000000,495.000000
106.000000,1500321306408.000000,470.000000
107.000000,1500321306415.000000,505.000000
108.000000,1500321306425.000000,498.000000
109.000000,1500321306441.000000,506.000000
110.000000,1500321307658.000000,482.000000
111.000000,1500321307667.000000,471.000000
112.000000,1500321307674.000000,465.000000
113.000000,1500321312989.000000,462.000000
114.000000,1500321312997.000000,457.000000
115.000000,1500321313004.000000,456.000000
116.000000,1500321313015.000000,466.000000
117.000000,1500321313030.000000,467.000000
118.000000,1500321314492.000000,457.000000
119.000000,1500321314501.000000,426.000000
120.000000,1500321314509.000000,451.000000
121.000000,1500321314519.000000,440.000000
122.000000,1500321314535.000000,448.000000
123.000000,1500321315923.000000,432.000000
124.000000,1500321315932.000000,445.000000
125.000000,1500321315939.000000,434.000000
126.000000,1500321315951.000000,441.000000
127.000000,1500321315965.000000,447.000000
128.000000,1500321317411.000000,432.000000
129.000000,1500321317420.000000,429.000000
130.000000,1500321317427.000000,411.000000
131.000000,1500321317437.000000,428.000000
132.000000,1500321317453.000000,441.000000
133.000000,1500321318899.000000,433.000000
134.000000,1500321318908.000000,423.000000
135.000000,1500321318915.000000,406.000000
136.000000,1500321318925.000000,434.000000
137.000000,1500321318941.000000,417.000000
138.000000,1500321320501.000000,414.000000
139.000000,1500321320510.000000,421.000000
140.000000,1500321320517.000000,414.000000
141.000000,1500321320527.000000,417.000000
142.000000,1500321320542.000000,407.000000
143.000000,1500321322103.000000,413.000000
144.000000,1500321322114.000000,407.000000
145.000000,1500321322119.000000,417.000000
146.000000,1500321322128.000000,413.000000
147.000000,1500321322144.000000,412.000000
