1.000000,1498588099195.000000,10.412000,44.301035,42.060085,3416.000000
2.000000,1498588119183.000000,10.352000,44.268409,42.021992,3409.000000
3.000000,1498588159184.000000,10.210000,44.231711,41.970616,3395.000000
4.000000,1498588179179.000000,10.124000,44.208035,41.938791,3386.000000
5.000000,1498588199183.000000,10.024000,44.186801,41.907573,3375.000000
6.000000,1498588219172.000000,9.906000,44.151697,41.860790,3364.000000
7.000000,1498588239173.000000,9.728000,44.173822,41.863474,3342.000000
8.000000,1498588259173.000000,9.178000,44.099477,41.734531,3280.000000
9.000000,1498588279176.000000,8.320000,43.878746,41.437861,3193.000000
10.000000,1498588299178.000000,7.712000,43.787389,41.287405,3136.000000
11.000000,1498588319175.000000,7.126000,43.636033,41.086772,3076.000000
12.000000,1498588339171.000000,6.636000,43.887384,41.284985,3032.000000
13.000000,1498588359169.000000,6.364000,44.034892,41.399612,3008.000000
14.000000,1498588379167.000000,6.156000,44.062434,41.407089,2987.000000
15.000000,1498588399173.000000,5.938000,44.069419,41.394334,2964.000000
16.000000,1498588419171.000000,5.718000,44.312941,41.609759,2945.000000
17.000000,1498588439167.000000,5.670000,44.633718,41.912672,2942.000000
18.000000,1498588459165.000000,5.560000,44.678469,41.946605,2927.000000
19.000000,1498588479165.000000,5.374000,44.626237,41.879853,2910.000000
20.000000,1498588499173.000000,5.208000,44.672457,41.908860,2893.000000
21.000000,1498588539164.000000,4.898000,45.029042,42.219587,2858.000000
22.000000,1498588559162.000000,4.880000,46.125301,43.272768,2866.000000
23.000000,1498588579160.000000,4.826000,46.115909,43.258302,2857.000000
24.000000,1498588599177.000000,4.714000,45.983373,43.123534,2845.000000
25.000000,1498588619162.000000,4.598000,46.038475,43.164241,2834.000000
26.000000,1498588639157.000000,4.564000,46.220580,43.336652,2830.000000
27.000000,1498588659159.000000,4.554000,46.485434,43.590608,2829.000000
28.000000,1498588679160.000000,4.550000,46.624363,43.722754,2830.000000
29.000000,1498588759149.000000,4.268000,47.195802,44.244228,2801.000000
30.000000,1498588779153.000000,4.188000,47.179252,44.221284,2791.000000
31.000000,1498588799147.000000,4.294000,48.250759,45.257168,2806.000000
32.000000,1498588819145.000000,4.394000,48.316473,45.328109,2818.000000
33.000000,1498588839150.000000,4.526000,48.368408,45.390997,2830.000000
34.000000,1498588859148.000000,4.638000,48.447209,45.477615,2841.000000
35.000000,1498588879145.000000,4.726000,48.513343,45.549771,2850.000000
36.000000,1498588899142.000000,4.796000,48.606527,45.645752,2856.000000
37.000000,1498588919148.000000,4.864000,48.673353,45.716744,2863.000000
38.000000,1498588939141.000000,4.912000,48.737739,45.783357,2868.000000
39.000000,1498588959143.000000,4.958000,48.811801,45.858732,2873.000000
40.000000,1498588979143.000000,4.984000,48.843714,45.891914,2874.000000
41.000000,1498588999141.000000,5.002000,48.930374,45.977390,2876.000000
42.000000,1498589019143.000000,5.014000,48.979476,46.025385,2877.000000
43.000000,1498589039142.000000,5.018000,49.046172,46.089795,2878.000000
44.000000,1498589059140.000000,5.008000,49.129175,46.167481,2875.000000
45.000000,1498589079138.000000,4.920000,49.225541,46.252416,2865.000000
46.000000,1498589099136.000000,4.808000,49.261003,46.275495,2855.000000
47.000000,1498589119138.000000,4.760000,49.305808,46.313203,2851.000000
48.000000,1498589139142.000000,4.742000,49.343063,46.347148,2849.000000
49.000000,1498589159132.000000,4.722000,49.379743,46.379572,2848.000000
50.000000,1498589179131.000000,4.694000,49.368075,46.366361,2844.000000
51.000000,1498589199128.000000,4.660000,49.372446,46.367007,2841.000000
52.000000,1498589219128.000000,4.604000,49.370811,46.359708,2834.000000
53.000000,1498589239129.000000,4.548000,49.362430,46.346006,2829.000000
54.000000,1498589259129.000000,4.446000,49.338466,46.312917,2818.000000
55.000000,1498589279124.000000,4.308000,49.314680,46.277094,2804.000000
56.000000,1498589299130.000000,4.206000,49.312374,46.264473,2795.000000
57.000000,1498589319124.000000,4.130000,49.302953,46.248587,2787.000000
58.000000,1498589339124.000000,4.066000,49.329285,46.266892,2782.000000
59.000000,1498589359119.000000,4.038000,49.319394,46.254582,2779.000000
60.000000,1498589379122.000000,4.028000,49.325961,46.259352,2778.000000
61.000000,1498589399124.000000,4.028000,49.358774,46.290822,2778.000000
62.000000,1498589419116.000000,3.964000,49.374910,46.298942,2775.000000
63.000000,1498589439122.000000,3.964000,49.489360,46.410027,2770.000000
64.000000,1498589459114.000000,3.926000,49.488987,46.405777,2768.000000
65.000000,1498589479113.000000,3.916000,49.528301,46.441603,2767.000000
66.000000,1498589499119.000000,3.876000,49.511218,46.422044,2763.000000
67.000000,1498589519116.000000,3.842000,49.530302,46.436834,2759.000000
68.000000,1498589539115.000000,3.808000,49.529669,46.432924,2756.000000
69.000000,1498589559115.000000,3.792000,49.555572,46.455810,2753.000000
70.000000,1498589579108.000000,3.726000,49.573633,46.466608,2748.000000
71.000000,1498589599109.000000,3.672000,49.598121,46.484916,2742.000000
72.000000,1498589619110.000000,3.658000,49.630394,46.514121,2742.000000
73.000000,1498589639109.000000,3.670000,49.660097,46.543528,2743.000000
74.000000,1498589659110.000000,3.680000,49.696321,46.578825,2745.000000
75.000000,1498589679110.000000,3.716000,49.723223,46.608267,2748.000000
76.000000,1498589699104.000000,3.716000,49.719862,46.605247,2747.000000
77.000000,1498589719107.000000,3.682000,49.708975,46.591771,2743.000000
78.000000,1498589739101.000000,3.666000,49.728142,46.608258,2743.000000
79.000000,1498589759100.000000,3.682000,49.761201,46.641269,2744.000000
80.000000,1498589779099.000000,3.672000,49.754251,46.633879,2743.000000
