1.000000,1498651949398.000000,28.516667,34.734383,37.000000
2.000000,1498651961354.000000,28.440000,34.873049,35.000000
3.000000,1498651973358.000000,28.340000,35.278116,33.000000
4.000000,1498651985353.000000,28.266667,35.416816,31.000000
5.000000,1498651997352.000000,28.196667,35.555735,30.000000
6.000000,1498652009351.000000,28.113333,35.491848,27.000000
7.000000,1498652021363.000000,28.006667,35.190846,25.000000
8.000000,1498652033361.000000,27.963333,35.991387,26.000000
9.000000,1498652045361.000000,27.880000,35.883008,23.000000
10.000000,1498652057351.000000,27.800000,35.517915,22.000000
11.000000,1498652069351.000000,27.730000,35.835107,22.000000
12.000000,1498652081353.000000,27.676667,36.120056,21.000000
13.000000,1498652093350.000000,27.603333,36.101840,18.000000
14.000000,1498652105353.000000,27.573333,36.544437,19.000000
15.000000,1498652117347.000000,27.520000,37.251242,20.000000
16.000000,1498652129345.000000,27.456667,37.333724,18.000000
17.000000,1498652141351.000000,27.383333,37.015381,20.000000
18.000000,1498652153354.000000,27.320000,36.720097,18.000000
19.000000,1498652165352.000000,27.213333,36.698463,18.000000
20.000000,1498652177346.000000,27.203333,37.386194,15.000000
21.000000,1498652189349.000000,27.096667,37.020382,12.000000
22.000000,1498652201348.000000,27.070000,37.328541,16.000000
23.000000,1498652213343.000000,27.033333,37.635370,13.000000
24.000000,1498652225345.000000,27.000000,37.499015,12.000000
25.000000,1498652237341.000000,26.930000,37.624974,12.000000
26.000000,1498652249346.000000,26.936667,38.157163,11.000000
27.000000,1498652261343.000000,26.853333,37.716995,9.000000
28.000000,1498652273343.000000,26.786667,37.721358,9.000000
29.000000,1498652285341.000000,26.753333,37.906154,10.000000
30.000000,1498652297340.000000,26.740000,38.059740,8.000000
31.000000,1498652309339.000000,26.696667,37.922580,12.000000
32.000000,1498652321346.000000,26.666667,37.875283,8.000000
33.000000,1498652333339.000000,26.653333,37.873936,8.000000
34.000000,1498652345345.000000,26.630000,37.738768,9.000000
35.000000,1498652357342.000000,26.600000,38.100779,9.000000
36.000000,1498652369337.000000,26.570000,38.252457,11.000000
37.000000,1498652381339.000000,26.466667,38.308221,6.000000
38.000000,1498652393342.000000,26.406667,38.556009,7.000000
39.000000,1498652405337.000000,26.360000,38.573241,8.000000
40.000000,1498652417333.000000,26.243333,38.439903,7.000000
41.000000,1498652429370.000000,26.126667,38.582340,8.000000
42.000000,1498652441338.000000,26.026667,38.737358,8.000000
43.000000,1498652453337.000000,25.966667,38.940412,5.000000
44.000000,1498652465337.000000,25.920000,38.957583,6.000000
45.000000,1498652477336.000000,25.810000,38.990162,5.000000
46.000000,1498652489338.000000,25.760000,39.138965,5.000000
47.000000,1498652501335.000000,25.690000,39.208616,7.000000
48.000000,1498652513331.000000,25.643333,39.346601,6.000000
49.000000,1498652525334.000000,25.603333,39.485192,2.000000
50.000000,1498652537329.000000,25.586667,39.670073,2.000000
51.000000,1498652549327.000000,25.556667,39.743712,6.000000
52.000000,1498652561332.000000,25.536667,39.818387,2.000000
53.000000,1498652573323.000000,25.510000,39.705854,2.000000
54.000000,1498652585324.000000,25.466667,39.756113,4.000000
55.000000,1498652597330.000000,25.450000,39.885944,3.000000
56.000000,1498652609333.000000,25.446667,39.918481,1.000000
57.000000,1498652621349.000000,25.813333,39.803835,9.000000
58.000000,1498652633328.000000,26.576667,39.521359,17.000000
59.000000,1498652645326.000000,27.246667,38.199778,26.000000
60.000000,1498652657325.000000,27.790000,37.322538,34.000000
61.000000,1498652669327.000000,28.256667,36.655898,41.000000
62.000000,1498652681324.000000,28.650000,35.744279,48.000000
63.000000,1498652693323.000000,28.970000,34.787839,56.000000
64.000000,1498652705329.000000,29.346667,34.553160,61.000000
65.000000,1498652717319.000000,29.740000,34.217506,64.000000
66.000000,1498652729323.000000,30.080000,33.277253,70.000000
67.000000,1498652741325.000000,30.303333,32.810351,73.000000
68.000000,1498652753323.000000,30.643333,32.931097,79.000000
69.000000,1498652765318.000000,30.880000,32.145552,83.000000
70.000000,1498652777323.000000,31.083333,31.844464,87.000000
71.000000,1498652789323.000000,31.293333,31.543268,90.000000
72.000000,1498652801322.000000,31.516667,30.179408,93.000000
73.000000,1498652813318.000000,31.710000,29.748120,96.000000
74.000000,1498652825316.000000,31.870000,30.414570,98.000000
75.000000,1498652837321.000000,32.023333,30.002995,100.000000
76.000000,1498652849315.000000,32.110000,29.746002,105.000000
77.000000,1498652861313.000000,32.133333,29.288329,106.000000
78.000000,1498652873317.000000,32.216667,28.857793,106.000000
79.000000,1498652885315.000000,32.270000,28.838959,108.000000
80.000000,1498652897314.000000,32.386667,28.571598,111.000000
81.000000,1498652909316.000000,32.493333,28.441553,112.000000
82.000000,1498652921310.000000,32.630000,28.255971,109.000000
83.000000,1498652933310.000000,32.680000,28.063550,112.000000
84.000000,1498652945316.000000,33.560000,28.639946,116.000000
85.000000,1498652957308.000000,37.273333,25.626556,115.000000
86.000000,1498652969307.000000,38.536667,22.068513,117.000000
87.000000,1498652981313.000000,37.240000,22.556945,117.000000
88.000000,1498652993306.000000,36.553333,23.175362,114.000000
89.000000,1498653005309.000000,36.160000,23.762900,120.000000
90.000000,1498653017309.000000,36.020000,23.953810,121.000000
91.000000,1498653029312.000000,35.953333,24.102330,121.000000
92.000000,1498653041306.000000,35.883333,23.991746,120.000000
93.000000,1498653053304.000000,35.773333,24.137283,125.000000
94.000000,1498653065311.000000,35.693333,24.049597,126.000000
95.000000,1498653077304.000000,35.610000,24.126298,127.000000
96.000000,1498653089305.000000,35.563333,24.123154,127.000000
